'x' ; 'y',5*cos(x)
-2.33;-3.442
-2.32;-3.405
-2.31;-3.368
-2.3;-3.331
-2.29;-3.294
-2.28;-3.256
-2.27;-3.218
-2.26;-3.18
-2.25;-3.141
-2.24;-3.102
-2.23;-3.062
-2.22;-3.023
-2.21;-2.983
-2.2;-2.943
-2.19;-2.902
-2.18;-2.861
-2.17;-2.82
-2.16;-2.778
-2.15;-2.737
-2.14;-2.695
-2.13;-2.653
-2.12;-2.61
-2.11;-2.567
-2.1;-2.524
-2.09;-2.481
-2.08;-2.437
-2.07;-2.394
-2.06;-2.35
-2.05;-2.305
-2.04;-2.261
-2.03;-2.216
-2.02;-2.171
-2.01;-2.126
-2.0;-2.081
-1.99;-2.035
-1.98;-1.989
-1.97;-1.943
-1.96;-1.897
-1.95;-1.851
-1.94;-1.804
-1.93;-1.758
-1.92;-1.711
-1.91;-1.664
-1.9;-1.616
-1.89;-1.569
-1.88;-1.522
-1.87;-1.474
-1.86;-1.426
-1.85;-1.378
-1.84;-1.33
-1.83;-1.282
-1.82;-1.233
-1.81;-1.185
-1.8;-1.136
-1.79;-1.087
-1.78;-1.038
-1.77;-0.989
-1.76;-0.94
-1.75;-0.891
-1.74;-0.842
-1.73;-0.793
-1.72;-0.743
-1.71;-0.694
-1.7;-0.644
-1.69;-0.595
-1.68;-0.545
-1.67;-0.495
-1.66;-0.445
-1.65;-0.396
-1.64;-0.346
-1.63;-0.296
-1.62;-0.246
-1.61;-0.196
-1.6;-0.146
-1.59;-0.096
-1.58;-0.046
-1.57;0.004
-1.56;0.054
-1.55;0.104
-1.54;0.154
-1.53;0.204
-1.52;0.254
-1.51;0.304
-1.5;0.354
-1.49;0.404
-1.48;0.453
-1.47;0.503
-1.46;0.553
-1.45;0.603
-1.44;0.652
-1.43;0.702
-1.42;0.751
-1.41;0.801
-1.4;0.85
-1.39;0.899
-1.38;0.948
-1.37;0.997
-1.36;1.046
-1.35;1.095
-1.34;1.144
-1.33;1.192
-1.32;1.241
-1.31;1.289
-1.3;1.337
-1.29;1.386
-1.28;1.434
-1.27;1.481
-1.26;1.529
-1.25;1.577
-1.24;1.624
-1.23;1.671
-1.22;1.718
-1.21;1.765
-1.2;1.812
-1.19;1.858
-1.18;1.905
-1.17;1.951
-1.16;1.997
-1.15;2.042
-1.14;2.088
-1.13;2.133
-1.12;2.178
-1.11;2.223
-1.1;2.268
-1.09;2.312
-1.08;2.357
-1.07;2.401
-1.06;2.444
-1.05;2.488
-1.04;2.531
-1.03;2.574
-1.02;2.617
-1.01;2.659
-1.0;2.702
-0.99;2.743
-0.98;2.785
-0.97;2.826
-0.96;2.868
-0.95;2.908
-0.94;2.949
-0.93;2.989
-0.92;3.029
-0.91;3.069
-0.9;3.108
-0.89;3.147
-0.88;3.186
-0.87;3.224
-0.86;3.262
-0.85;3.3
-0.84;3.337
-0.83;3.374
-0.82;3.411
-0.81;3.447
-0.8;3.484
-0.79;3.519
-0.78;3.555
-0.77;3.59
-0.76;3.624
-0.75;3.658
-0.74;3.692
-0.73;3.726
-0.72;3.759
-0.71;3.792
-0.7;3.824
-0.69;3.856
-0.68;3.888
-0.67;3.919
-0.66;3.95
-0.65;3.98
-0.64;4.01
-0.63;4.04
-0.62;4.069
-0.61;4.098
-0.6;4.127
-0.59;4.155
-0.58;4.182
-0.57;4.21
-0.56;4.236
-0.55;4.263
-0.54;4.289
-0.53;4.314
-0.52;4.339
-0.51;4.364
-0.5;4.388
-0.49;4.412
-0.48;4.435
-0.47;4.458
-0.46;4.48
-0.45;4.502
-0.44;4.524
-0.43;4.545
-0.42;4.565
-0.41;4.586
-0.4;4.605
-0.39;4.625
-0.38;4.643
-0.37;4.662
-0.36;4.679
-0.35;4.697
-0.34;4.714
-0.33;4.73
-0.32;4.746
-0.31;4.762
-0.3;4.777
-0.29;4.791
-0.28;4.805
-0.27;4.819
-0.26;4.832
-0.25;4.845
-0.24;4.857
-0.23;4.868
-0.22;4.879
-0.21;4.89
-0.2;4.9
-0.19;4.91
-0.18;4.919
-0.17;4.928
-0.16;4.936
-0.15;4.944
-0.14;4.951
-0.13;4.958
-0.12;4.964
-0.11;4.97
-0.1;4.975
-0.09;4.98
-0.08;4.984
-0.07;4.988
-0.06;4.991
-0.05;4.994
-0.04;4.996
-0.03;4.998
-0.02;4.999
-0.01;5.0
-0.0;5.0
0.01;5.0
0.02;4.999
0.03;4.998
0.04;4.996
0.05;4.994
0.06;4.991
0.07;4.988
0.08;4.984
0.09;4.98
0.1;4.975
0.11;4.97
0.12;4.964
0.13;4.958
0.14;4.951
0.15;4.944
0.16;4.936
0.17;4.928
0.18;4.919
0.19;4.91
0.2;4.9
0.21;4.89
0.22;4.879
0.23;4.868
0.24;4.857
0.25;4.845
0.26;4.832
0.27;4.819
0.28;4.805
0.29;4.791
0.3;4.777
0.31;4.762
0.32;4.746
0.33;4.73
0.34;4.714
0.35;4.697
0.36;4.679
0.37;4.662
0.38;4.643
0.39;4.625
0.4;4.605
0.41;4.586
0.42;4.565
0.43;4.545
0.44;4.524
0.45;4.502
0.46;4.48
0.47;4.458
0.48;4.435
0.49;4.412
0.5;4.388
0.51;4.364
0.52;4.339
0.53;4.314
0.54;4.289
0.55;4.263
0.56;4.236
0.57;4.21
0.58;4.182
0.59;4.155
0.6;4.127
0.61;4.098
0.62;4.069
0.63;4.04
0.64;4.01
0.65;3.98
0.66;3.95
0.67;3.919
0.68;3.888
0.69;3.856
0.7;3.824
0.71;3.792
0.72;3.759
0.73;3.726
0.74;3.692
0.75;3.658
0.76;3.624
0.77;3.59
0.78;3.555
0.79;3.519
0.8;3.484
0.81;3.447
0.82;3.411
0.83;3.374
0.84;3.337
0.85;3.3
0.86;3.262
0.87;3.224
0.88;3.186
0.89;3.147
0.9;3.108
0.91;3.069
0.92;3.029
0.93;2.989
0.94;2.949
0.95;2.908
0.96;2.868
0.97;2.826
0.98;2.785
0.99;2.743
1.0;2.702
1.01;2.659
1.02;2.617
1.03;2.574
1.04;2.531
1.05;2.488
1.06;2.444
1.07;2.401
1.08;2.357
1.09;2.312
1.1;2.268
1.11;2.223
1.12;2.178
1.13;2.133
1.14;2.088
1.15;2.042
1.16;1.997
1.17;1.951
1.18;1.905
1.19;1.858
1.2;1.812
1.21;1.765
1.22;1.718
1.23;1.671
1.24;1.624
1.25;1.577
1.26;1.529
1.27;1.481
1.28;1.434
1.29;1.386
1.3;1.337
1.31;1.289
1.32;1.241
1.33;1.192
1.34;1.144
1.35;1.095
1.36;1.046
1.37;0.997
1.38;0.948
1.39;0.899
1.4;0.85
1.41;0.801
1.42;0.751
1.43;0.702
1.44;0.652
1.45;0.603
1.46;0.553
1.47;0.503
1.48;0.453
1.49;0.404
1.5;0.354
1.51;0.304
1.52;0.254
1.53;0.204
1.54;0.154
1.55;0.104
1.56;0.054
1.57;0.004
1.58;-0.046
1.59;-0.096
1.6;-0.146
1.61;-0.196
1.62;-0.246
1.63;-0.296
1.64;-0.346
1.65;-0.396
1.66;-0.445
1.67;-0.495
1.68;-0.545
1.69;-0.595
1.7;-0.644
1.71;-0.694
1.72;-0.743
1.73;-0.793
1.74;-0.842
1.75;-0.891
1.76;-0.94
1.77;-0.989
1.78;-1.038
1.79;-1.087
1.8;-1.136
1.81;-1.185
1.82;-1.233
1.83;-1.282
1.84;-1.33
1.85;-1.378
1.86;-1.426
1.87;-1.474
1.88;-1.522
1.89;-1.569
1.9;-1.616
1.91;-1.664
1.92;-1.711
1.93;-1.758
1.94;-1.804
1.95;-1.851
1.96;-1.897
1.97;-1.943
1.98;-1.989
1.99;-2.035
2.0;-2.081
2.01;-2.126
2.02;-2.171
2.03;-2.216
2.04;-2.261
2.05;-2.305
2.06;-2.35
2.07;-2.394
2.08;-2.437
2.09;-2.481
2.1;-2.524
2.11;-2.567
2.12;-2.61
2.13;-2.653
2.14;-2.695
2.15;-2.737
2.16;-2.778
2.17;-2.82
2.18;-2.861
2.19;-2.902
2.2;-2.943
2.21;-2.983
2.22;-3.023
2.23;-3.062
2.24;-3.102
2.25;-3.141
2.26;-3.18
2.27;-3.218
2.28;-3.256
2.29;-3.294
2.3;-3.331
2.31;-3.368
2.32;-3.405
2.33;-3.442
2.34;-3.478
2.35;-3.514
2.36;-3.549
2.37;-3.584
2.38;-3.619
2.39;-3.653
2.4;-3.687
2.41;-3.721
2.42;-3.754
2.43;-3.787
2.44;-3.819
2.45;-3.851
2.46;-3.883
2.47;-3.914
2.48;-3.945
2.49;-3.976
2.5;-4.006
2.51;-4.035
2.52;-4.065
2.53;-4.094
2.54;-4.122
2.55;-4.15
2.56;-4.178
2.57;-4.205
2.58;-4.232
2.59;-4.258
2.6;-4.284
2.61;-4.31
2.62;-4.335
2.63;-4.36
2.64;-4.384
2.65;-4.408
2.66;-4.431
2.67;-4.454
2.68;-4.477
2.69;-4.499
2.7;-4.52
2.71;-4.542
2.72;-4.562
2.73;-4.582
2.74;-4.602
2.75;-4.622
2.76;-4.64
2.77;-4.659
2.78;-4.677
2.79;-4.694
2.8;-4.711
2.81;-4.728
2.82;-4.744
2.83;-4.759
2.84;-4.774
2.85;-4.789
2.86;-4.803
2.87;-4.817
2.88;-4.83
2.89;-4.843
2.9;-4.855
2.91;-4.867
2.92;-4.878
2.93;-4.888
2.94;-4.899
2.95;-4.909
2.96;-4.918
2.97;-4.927
2.98;-4.935
2.99;-4.943
3.0;-4.95
3.01;-4.957
3.02;-4.963
3.03;-4.969
3.04;-4.974
3.05;-4.979
3.06;-4.983
3.07;-4.987
3.08;-4.991
3.09;-4.993
3.1;-4.996
3.11;-4.998
3.12;-4.999
3.13;-5.0
3.14;-5.0
3.15;-5.0
3.16;-4.999
3.17;-4.998
3.18;-4.996
3.19;-4.994
3.2;-4.991
3.21;-4.988
3.22;-4.985
3.23;-4.98
3.24;-4.976
3.25;-4.971
3.26;-4.965
3.27;-4.959
3.28;-4.952
3.29;-4.945
3.3;-4.937
3.31;-4.929
3.32;-4.921
3.33;-4.912
3.34;-4.902
3.35;-4.892
3.36;-4.881
3.37;-4.87
3.38;-4.859
3.39;-4.847
3.4;-4.834
3.41;-4.821
3.42;-4.807
3.43;-4.793
3.44;-4.779
3.45;-4.764
3.46;-4.749
3.47;-4.733
3.48;-4.716
3.49;-4.7
3.5;-4.682
3.51;-4.665
3.52;-4.646
3.53;-4.628
3.54;-4.608
3.55;-4.589
3.56;-4.569
3.57;-4.548
3.58;-4.527
3.59;-4.506
3.6;-4.484
3.61;-4.461
3.62;-4.439
3.63;-4.415
3.64;-4.392
3.65;-4.368
3.66;-4.343
3.67;-4.318
3.68;-4.293
3.69;-4.267
3.7;-4.241
3.71;-4.214
3.72;-4.187
3.73;-4.159
3.74;-4.131
3.75;-4.103
3.76;-4.074
3.77;-4.045
3.78;-4.015
3.79;-3.985
3.8;-3.955
3.81;-3.924
3.82;-3.893
3.83;-3.861
3.84;-3.829
3.85;-3.797
3.86;-3.764
3.87;-3.731
3.88;-3.698
3.89;-3.664
3.9;-3.63
3.91;-3.595
3.92;-3.56
3.93;-3.525
3.94;-3.489
3.95;-3.453
3.96;-3.417
3.97;-3.38
3.98;-3.343
3.99;-3.306
4.0;-3.268
4.01;-3.23
4.02;-3.192
4.03;-3.153
4.04;-3.114
4.05;-3.075
4.06;-3.035
4.07;-2.996
4.08;-2.955
4.09;-2.915
4.1;-2.874
4.11;-2.833
4.12;-2.792
4.13;-2.75
4.14;-2.708
4.15;-2.666
4.16;-2.624
4.17;-2.581
4.18;-2.538
4.19;-2.495
4.2;-2.451
4.21;-2.408
4.22;-2.364
4.23;-2.319
4.24;-2.275
4.25;-2.23
4.26;-2.186
4.27;-2.14
4.28;-2.095
4.29;-2.05
4.3;-2.004
4.31;-1.958
4.32;-1.912
4.33;-1.866
4.34;-1.819
4.35;-1.773
4.36;-1.726
4.37;-1.679
4.38;-1.632
4.39;-1.584
4.4;-1.537
4.41;-1.489
4.42;-1.441
4.43;-1.393
4.44;-1.345
4.45;-1.297
4.46;-1.249
4.47;-1.2
4.48;-1.152
4.49;-1.103
4.5;-1.054
4.51;-1.005
4.52;-0.956
4.53;-0.907
4.54;-0.858
4.55;-0.808
4.56;-0.759
4.57;-0.71
4.58;-0.66
4.59;-0.61
4.6;-0.561
4.61;-0.511
4.62;-0.461
4.63;-0.411
4.64;-0.362
4.65;-0.312
4.66;-0.262
4.67;-0.212
4.68;-0.162
4.69;-0.112
4.7;-0.062
4.71;-0.012
4.72;0.038
4.73;0.088
4.74;0.138
4.75;0.188
4.76;0.238
4.77;0.288
4.78;0.338
4.79;0.388
4.8;0.437
4.81;0.487
4.82;0.537
4.83;0.587
4.84;0.636
4.85;0.686
4.86;0.735
4.87;0.785
4.88;0.834
4.89;0.883
4.9;0.933
4.91;0.982
4.92;1.031
4.93;1.079
4.94;1.128
4.95;1.177
4.96;1.225
4.97;1.274
4.98;1.322
4.99;1.37
5.0;1.418
5.01;1.466
5.02;1.514
5.03;1.561
5.04;1.609
5.05;1.656
5.06;1.703
5.07;1.75
5.08;1.797
5.09;1.844
5.1;1.89
5.11;1.936
5.12;1.982
5.13;2.028
5.14;2.073
5.15;2.119
5.16;2.164
5.17;2.209
5.18;2.254
5.19;2.298
5.2;2.343
5.21;2.387
5.22;2.43
5.23;2.474
5.24;2.517
5.25;2.56
5.26;2.603
5.27;2.646
5.28;2.688
5.29;2.73
5.3;2.772
5.31;2.813
5.32;2.855
5.33;2.895
5.34;2.936
5.35;2.976
5.36;3.016
5.37;3.056
5.38;3.096
5.39;3.135
5.4;3.173
5.41;3.212
5.42;3.25
5.43;3.288
5.44;3.325
5.45;3.363
5.46;3.399
5.47;3.436
5.48;3.472
5.49;3.508
5.5;3.543
5.51;3.578
5.52;3.613
5.53;3.648
5.54;3.682
5.55;3.715
5.56;3.749
5.57;3.781
5.58;3.814
5.59;3.846
5.6;3.878
5.61;3.909
5.62;3.94
5.63;3.971
5.64;4.001
5.65;4.031
5.66;4.06
5.67;4.089
5.68;4.118
5.69;4.146
5.7;4.174
5.71;4.201
5.72;4.228
5.73;4.254
5.74;4.28
5.75;4.306
5.76;4.331
5.77;4.356
5.78;4.38
5.79;4.404
5.8;4.428
5.81;4.451
5.82;4.473
5.83;4.495
5.84;4.517
5.85;4.538
5.86;4.559
5.87;4.579
5.88;4.599
5.89;4.618
5.9;4.637
5.91;4.656
5.92;4.674
5.93;4.691
5.94;4.708
5.95;4.725
5.96;4.741
5.97;4.757
5.98;4.772
5.99;4.787
